"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 31-Mar-2022","30 D % CHNG 
 01-Mar-2023"
"NIFTY 50","17,210.35","17,381.60","17,204.65","17,080.70","17,359.75","279.05","1.63","263,889,033","249,708,253,984.66","18,887.60","15,183.40","-1.76","0.22"
"RELIANCE","2,255.00","2,343.45","2,254.70","2,234.70","2,330.95","96.25","4.31","13,001,005","30,107,207,338.80","2,856.15","2,180.00","-12.23","0.21"
"NESTLEIND","19,155.00","19,751.90","19,155.00","19,052.95","19,680.00","627.05","3.29","148,444","2,908,512,278.52","21,050.00","16,000.00","12.23","6.62"
"INFY","1,404.00","1,429.95","1,393.90","1,383.55","1,425.70","42.15","3.05","8,711,975","12,343,474,659.00","1,919.00","1,355.00","-24.98","-3.00"
"ICICIBANK","861.95","881.00","858.50","851.00","876.90","25.90","3.04","25,739,021","22,520,871,204.37","958.20","669.95","19.15","2.72"
"TATAMOTORS","411.35","421.75","411.00","409.20","421.00","11.80","2.88","11,037,881","4,607,432,287.02","494.40","366.20","-4.61","0.08"
"TCS","3,189.95","3,213.00","3,152.00","3,138.90","3,204.00","65.10","2.07","2,382,581","7,599,027,667.21","3,835.60","2,926.10","-14.71","-3.48"
"TECHM","1,095.00","1,106.00","1,091.45","1,081.10","1,102.80","21.70","2.01","2,281,085","2,506,136,846.10","1,539.55","943.70","-25.91","-0.72"
"TATACONSUM","700.15","711.00","698.55","697.55","711.00","13.45","1.93","972,962","688,438,722.34","861.15","686.60","-10.25","0.21"
"AXISBANK","854.90","860.90","847.50","842.60","857.10","14.50","1.72","12,946,752","11,054,713,662.72","970.00","618.25","10.84","1.54"
"HEROMOTOCO","2,314.75","2,356.90","2,314.75","2,304.15","2,343.30","39.15","1.70","302,919","708,370,023.12","2,938.60","2,150.00","4.79","-4.71"
"WIPRO","363.35","365.75","361.30","359.05","365.15","6.10","1.70","3,957,106","1,439,832,589.16","609.50","355.00","-39.31","-5.88"
"BAJAJFINSV","1,252.30","1,270.00","1,250.00","1,246.05","1,267.15","21.10","1.69","1,830,686","2,306,682,666.86","1,844.00","1,072.72","-92.61","-5.73"
"HCLTECH","1,083.40","1,096.90","1,069.40","1,067.50","1,085.45","17.95","1.68","3,131,614","3,404,471,527.82","1,203.00","877.35","-7.22","-1.87"
"DRREDDY","4,583.00","4,656.50","4,567.85","4,567.80","4,640.00","72.20","1.58","456,497","2,110,951,687.28","4,656.50","3,789.85","8.02","5.29"
"JSWSTEEL","679.00","692.50","676.80","678.90","688.75","9.85","1.45","1,447,293","995,216,558.52","790.00","520.05","-6.02","1.93"
"CIPLA","888.80","902.70","886.70","887.70","900.50","12.80","1.44","2,320,879","2,083,012,111.29","1,185.25","852.00","-11.27","1.58"
"UPL","705.00","722.45","705.00","707.40","717.15","9.75","1.38","1,383,231","992,233,093.23","848.00","607.50","-8.18","1.66"
"POWERGRID","224.00","226.75","223.00","222.45","225.50","3.05","1.37","7,651,544","1,723,663,316.88","248.35","186.35","0.29","2.43"
"HDFCBANK","1,595.60","1,612.95","1,592.40","1,587.80","1,609.00","21.20","1.34","17,355,614","27,802,825,847.30","1,722.10","1,271.60","6.88","1.58"
"SBIN","520.65","524.90","519.35","516.50","523.00","6.50","1.26","17,356,345","9,061,053,470.70","629.55","430.70","3.06","-1.87"
"BPCL","344.90","346.40","340.95","339.85","344.10","4.25","1.25","5,068,755","1,745,425,784.25","398.80","288.05","-8.04","7.24"
"M&M","1,147.60","1,163.00","1,145.85","1,144.30","1,158.00","13.70","1.20","2,343,070","2,706,034,973.70","1,397.00","770.70","40.19","-7.42"
"HINDUNILVR","2,558.80","2,568.45","2,516.55","2,530.85","2,560.00","29.15","1.15","2,146,167","5,468,583,747.69","2,741.60","1,974.05","23.20","4.28"
"INDUSINDBK","1,063.00","1,076.00","1,060.40","1,057.10","1,069.00","11.90","1.13","3,097,113","3,311,928,757.68","1,275.80","763.20","10.26","-3.09"
"ONGC","150.10","153.00","150.05","149.35","151.00","1.65","1.10","7,998,472","1,211,848,492.72","179.80","119.85","-10.06","-1.95"
"BRITANNIA","4,277.45","4,333.80","4,257.05","4,276.20","4,321.50","45.30","1.06","244,995","1,053,537,298.80","4,669.20","3,090.20","33.79","-1.64"
"HINDALCO","404.05","410.30","401.10","399.05","403.20","4.15","1.04","7,468,634","3,030,921,049.88","636.00","308.95","-28.95","-1.33"
"HDFCLIFE","497.00","501.20","495.00","495.95","501.00","5.05","1.02","3,459,342","1,723,305,810.72","620.60","457.80","-9.29","3.40"
"BHARTIARTL","752.15","753.00","742.05","743.60","750.50","6.90","0.93","5,796,532","4,341,718,398.64","860.55","628.75","-1.25","1.20"
"NTPC","174.80","177.25","174.60","174.00","175.60","1.60","0.92","8,125,121","1,429,858,793.58","182.95","133.45","22.49","2.52"
"TATASTEEL","105.00","105.50","104.10","103.60","104.50","0.90","0.87","34,579,415","3,627,034,839.35","138.67","82.70","-92.07","-0.14"
"LT","2,156.50","2,176.95","2,150.55","2,147.45","2,165.05","17.60","0.82","1,489,542","3,222,773,071.20","2,297.65","1,456.35","20.90","2.01"
"KOTAKBANK","1,725.50","1,740.65","1,721.00","1,721.05","1,733.50","12.45","0.72","3,565,755","6,178,169,743.20","1,997.55","1,631.00","-2.47","0.65"
"HDFC","2,615.00","2,632.00","2,592.05","2,603.05","2,620.00","16.95","0.65","4,953,387","12,941,268,410.07","2,933.80","2,026.00","7.06","0.86"
"EICHERMOT","2,923.10","2,963.35","2,921.00","2,933.70","2,952.00","18.30","0.62","546,110","1,608,785,449.00","3,889.65","2,310.00","18.85","-5.65"
"ULTRACEMCO","7,575.10","7,644.30","7,547.05","7,570.75","7,606.35","35.60","0.47","378,456","2,878,324,400.64","7,644.30","5,157.05","14.27","4.57"
"GRASIM","1,635.70","1,651.65","1,628.60","1,631.70","1,636.45","4.75","0.29","780,027","1,278,105,440.58","1,839.50","1,276.60","-2.23","2.14"
"DIVISLAB","2,834.40","2,840.25","2,810.80","2,820.25","2,827.00","6.75","0.24","362,732","1,023,727,641.64","4,640.80","2,730.00","-35.54","-1.32"
"COALINDIA","212.20","214.30","211.15","212.95","213.25","0.30","0.14","5,139,018","1,095,998,368.86","263.40","164.65","14.77","-4.13"
"SBILIFE","1,100.20","1,112.95","1,097.25","1,098.70","1,100.00","1.30","0.12","959,958","1,060,302,409.74","1,340.35","1,033.20","-1.10","0.09"
"ITC","382.00","384.50","380.00","382.75","383.20","0.45","0.12","9,511,189","3,640,883,149.20","394.00","248.65","51.40","2.12"
"ADANIENT","1,788.00","1,825.00","1,740.00","1,740.40","1,742.10","1.70","0.10","4,893,249","8,675,730,477.00","4,190.00","1,017.45","-14.35","8.91"
"MARUTI","8,325.95","8,370.00","8,257.05","8,295.30","8,302.00","6.70","0.08","478,757","3,973,151,679.73","9,769.00","7,062.35","7.69","-3.00"
"TITAN","2,526.95","2,536.75","2,500.00","2,515.05","2,514.90","-0.15","-0.01","848,456","2,133,162,621.52","2,791.00","1,825.05","-0.24","6.61"
"BAJAJ-AUTO","3,875.65","3,907.85","3,860.00","3,879.30","3,876.00","-3.30","-0.09","248,433","965,403,185.01","4,131.75","3,460.00","3.87","4.56"
"BAJFINANCE","5,694.00","5,694.00","5,586.20","5,625.20","5,615.00","-10.20","-0.18","1,267,828","7,124,496,054.60","7,778.00","5,220.00","-24.18","-7.66"
